year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,9,26,1158,-1,1455,2,B6,N794JB,323,JFK,LAX,326,2475,11,58
2013,4,30,2255,10,2,-6,B6,N187JB,112,JFK,BUF,53,301,22,55
2013,10,31,634,-3,904,-19,UA,N37427,1144,EWR,MCO,127,937,6,34
2013,2,24,1854,24,2117,45,EV,N14923,4106,EWR,GRR,100,605,18,54
2013,8,7,1231,1,1501,-19,WN,N439WN,40,LGA,HOU,182,1428,12,31
2013,4,9,1159,-1,1344,-10,US,N711UW,1443,JFK,CLT,79,541,11,59
2013,10,23,817,-8,1019,-4,US,N677AW,409,EWR,CLT,94,529,8,17
2013,10,26,542,-3,941,8,B6,N504JB,1403,JFK,SJU,213,1598,5,42
2013,7,11,611,0,900,-15,UA,N76519,1183,EWR,RSW,151,1068,6,11
2013,12,20,752,47,1058,43,AS,N402AS,15,EWR,SEA,339,2402,7,52
2013,2,21,1926,31,2113,13,US,N536UW,1491,LGA,CLT,82,544,19,26
2013,4,7,1853,-6,2224,-6,B6,N571JB,87,JFK,SLC,290,1990,18,53
2013,2,9,1558,-2,1827,-23,DL,N379DA,1331,JFK,DEN,242,1626,15,58
2013,6,3,626,-4,734,-13,B6,N238JB,2,JFK,BUF,56,301,6,26
2013,3,31,756,-4,956,-2,B6,N206JB,1273,JFK,CHS,105,636,7,56
2013,5,16,1626,-3,1942,3,AA,N3KKAA,565,JFK,DFW,190,1391,16,26
2013,5,1,607,-8,855,-20,AA,N3JYAA,1895,EWR,MIA,148,1085,6,7
2013,3,5,642,4,931,-20,UA,N206UA,387,EWR,LAX,316,2454,6,42
2013,9,29,1751,-9,1909,-7,B6,N354JB,1407,JFK,IAD,42,228,17,51
2013,10,3,1339,-6,1630,-27,DL,N301NB,2449,LGA,MIA,153,1096,13,39
2013,3,18,1344,-1,1733,38,B6,N531JB,209,JFK,LGB,352,2465,13,44
2013,11,17,1109,-6,1239,-16,MQ,N504MQ,3466,LGA,RDU,66,431,11,9
2013,11,4,653,-6,900,-12,EV,N14902,4122,EWR,SDF,106,642,6,53
2013,8,22,1349,2,1639,-5,DL,N903DE,1685,LGA,MCO,133,950,13,49
2013,7,15,1257,-3,1401,-24,UA,N19130,1734,EWR,ORD,99,719,12,57
2013,7,28,855,2,1121,-17,UA,N15710,1711,EWR,IAH,182,1400,8,55
2013,8,27,1220,-10,1349,-3,B6,N374JB,2502,JFK,BUF,58,301,12,20
2013,1,8,1607,-8,1841,11,DL,N317NB,1619,LGA,MSP,170,1020,16,7
2013,12,5,2315,134,153,127,B6,N589JB,499,LGA,MCO,132,950,23,15
2013,4,1,2032,49,2149,56,EV,N22909,4312,EWR,DCA,54,199,20,32
2013,10,6,2041,11,2146,-19,WN,N400WN,2520,EWR,MDW,104,711,20,41
2013,11,15,2009,-1,2211,-8,EV,N11189,4348,EWR,MSP,153,1008,20,9
2013,9,5,1532,-3,1751,1,WN,N7741C,1873,EWR,DEN,217,1605,15,32
2013,9,29,1153,-7,1259,-14,DL,N318NB,1597,JFK,BOS,36,187,11,53
2013,8,21,640,-5,833,-12,B6,N206JB,675,JFK,MSY,160,1182,6,40
2013,9,18,915,0,1210,-5,VX,N851VA,161,EWR,LAX,323,2454,9,15
2013,4,24,1024,-5,1223,-25,EV,N758EV,5164,LGA,MEM,146,963,10,24
2013,8,21,2153,-6,2305,-19,UA,N73406,1171,EWR,BOS,46,200,21,53
2013,7,15,709,-6,934,-36,VX,N627VA,399,JFK,LAX,294,2475,7,9
2013,1,3,1427,7,1724,11,UA,N12109,1618,EWR,TPA,157,997,14,27
2013,8,20,634,-4,841,-4,EV,N16951,4122,EWR,SDF,102,642,6,34
2013,5,9,1438,-2,1734,-8,DL,N372NW,1902,LGA,PBI,144,1035,14,38
2013,6,15,816,-4,1106,-29,AA,N3ACAA,2267,LGA,MIA,132,1096,8,16
2013,11,4,1029,-1,1352,27,AA,N323AA,19,JFK,LAX,357,2475,10,29
2013,11,6,854,-6,1213,7,B6,N729JB,1701,JFK,FLL,144,1069,8,54
2013,4,1,816,-9,1035,9,US,N673AW,487,JFK,CLT,108,541,8,16
2013,9,22,1905,0,2059,-2,DL,N360NB,1473,LGA,MEM,131,963,19,5
2013,3,21,1905,0,2014,-31,WN,N220WN,3696,LGA,MKE,102,738,19,5
2013,7,30,734,34,1042,51,B6,N621JB,23,JFK,LAX,331,2475,7,34
2013,9,13,1718,4,1915,36,B6,N274JB,918,JFK,BOS,37,187,17,18
2013,2,14,1205,1,1427,1,UA,N73256,1107,EWR,DEN,238,1605,12,5
2013,8,26,2005,137,2235,120,B6,N657JB,299,LGA,MCO,124,950,20,5
2013,6,11,1919,-1,2157,-1,UA,N37474,1667,EWR,LAS,303,2227,19,19
2013,11,4,1757,-3,2056,17,DL,N919DL,2147,LGA,ATL,170,762,17,57
2013,5,24,1704,69,1946,117,B6,N187JB,915,JFK,ORD,117,740,17,4
2013,4,15,825,-5,1110,-10,UA,N77295,1400,EWR,MCO,133,937,8,25
2013,5,27,1704,2,1826,-19,UA,N34460,1293,EWR,ORD,117,719,17,4
2013,9,27,1738,4,2141,55,UA,N549UA,418,EWR,SFO,341,2565,17,38
2013,7,11,1252,-3,1546,5,UA,N19117,1641,EWR,MCO,145,937,12,52
2013,9,11,1622,3,1919,0,B6,N659JB,283,JFK,MCO,133,944,16,22
2013,3,17,602,2,846,31,FL,N308AT,345,LGA,ATL,121,762,6,2
2013,5,30,1554,-6,1726,5,US,N712US,2181,LGA,DCA,41,214,15,54
2013,6,6,1702,2,2052,-2,DL,N3759,329,JFK,SJU,183,1598,17,2
2013,12,3,2045,40,2218,48,EV,N13553,4224,EWR,MKE,135,725,20,45
2013,6,1,1254,-6,1506,-13,EV,N538CA,4898,EWR,ATL,107,746,12,54
2013,6,29,1502,-3,1705,15,WN,N938WN,882,LGA,STL,155,888,15,2
2013,5,10,1226,14,1428,5,UA,N11206,1497,EWR,DEN,219,1605,12,26
2013,8,3,955,-5,1213,5,EV,N16954,4495,EWR,SAV,105,708,9,55
2013,8,24,1512,15,1826,21,UA,N38458,1587,EWR,RSW,169,1068,15,12
2013,12,20,1216,20,1445,21,FL,N988AT,1280,LGA,ATL,119,762,12,16
2013,8,30,1020,-4,1207,-16,EV,N12967,4255,EWR,CHS,87,628,10,20
2013,3,20,1450,0,1631,-23,DL,N947DL,1231,LGA,DTW,81,502,14,50
2013,1,15,838,-5,1117,2,EV,N15555,4107,EWR,JAX,133,820,8,38
2013,11,26,1245,5,1403,-17,EV,N722EV,5322,LGA,RIC,61,292,12,45
2013,12,30,856,-4,1119,-14,DL,N994AT,2523,EWR,ATL,122,746,8,56
2013,7,5,1300,65,1430,80,MQ,N505MQ,3461,LGA,BNA,110,764,13,0
2013,5,25,1121,-4,1237,-28,AA,N587AA,327,LGA,ORD,108,733,11,21
2013,10,14,1309,25,1541,2,B6,N556JB,505,EWR,FLL,132,1065,13,9
2013,1,10,1052,-8,1354,-30,DL,N976DL,2044,LGA,MIA,150,1096,10,52
2013,4,22,928,-2,1229,-11,WN,N234WN,972,EWR,AUS,210,1504,9,28
2013,7,1,732,-3,1007,2,AA,N3DXAA,1949,JFK,LAS,290,2248,7,32
2013,4,11,1249,103,1531,86,UA,N37263,1143,EWR,PBI,138,1023,12,49
2013,12,9,1833,-2,2033,13,AA,N3KJAA,359,LGA,ORD,134,733,18,33
2013,9,18,1253,-7,1535,-15,AA,N3DDAA,1145,LGA,DFW,177,1389,12,53
2013,11,20,1623,-4,1858,12,EV,N14902,4294,EWR,SAV,108,708,16,23
2013,3,15,926,-3,1028,-16,EV,N14907,4636,EWR,DCA,41,199,9,26
2013,6,21,1900,45,2139,8,UA,N829UA,589,EWR,SNA,307,2434,19,0
2013,1,15,717,-8,1033,-2,AS,N596AS,11,EWR,SEA,348,2402,7,17
2013,8,22,755,-5,1130,37,B6,N806JB,901,JFK,FLL,154,1069,7,55
2013,8,15,1251,-9,1523,-32,VX,N624VA,165,EWR,LAX,313,2454,12,51
2013,4,10,1506,9,1636,2,EV,N13132,4323,EWR,RDU,64,416,15,6
2013,8,20,1855,-4,2101,-46,B6,N603JB,711,JFK,LAS,283,2248,18,55
2013,8,21,808,-7,943,-12,MQ,N738MQ,3531,LGA,RDU,70,431,8,8
2013,1,8,1648,-2,1755,-25,AA,N3ABAA,1790,JFK,BOS,40,187,16,48
2013,4,1,2055,10,2209,-16,AA,N511AA,371,LGA,ORD,115,733,20,55
2013,5,23,2349,199,46,176,WN,N494WN,490,EWR,MDW,97,711,23,49
2013,10,13,1914,7,2105,32,EV,N13975,4191,EWR,BNA,121,748,19,14
2013,1,28,1923,63,2244,54,AA,N3EDAA,119,EWR,LAX,354,2454,19,23
2013,5,12,741,-4,1026,-19,DL,N721TW,183,JFK,SEA,315,2422,7,41
2013,9,21,1625,10,1908,-7,AA,N3BMAA,65,JFK,DFW,200,1391,16,25
2013,12,10,1405,36,1551,59,B6,N193JB,2402,JFK,BUF,66,301,14,5
2013,12,18,838,8,1051,-14,DL,N385DN,433,JFK,ATL,110,760,8,38
2013,4,7,953,-7,1215,-5,MQ,N544MQ,4654,LGA,ATL,110,762,9,53
2013,1,8,2000,0,2140,1,UA,N15710,1574,EWR,CLE,71,404,20,0
2013,3,13,836,-4,942,-32,9E,N906XJ,3330,JFK,DCA,49,213,8,36
2013,9,4,1421,-4,1628,-22,MQ,N519MQ,3669,LGA,ATL,105,762,14,21
2013,9,8,1714,-6,1940,-50,AA,N3DCAA,291,JFK,AUS,188,1521,17,14
2013,6,2,1500,25,1732,-3,UA,N73406,1534,EWR,MIA,138,1085,15,0
2013,3,11,2239,44,112,31,B6,N703JB,43,JFK,MCO,138,944,22,39
2013,5,25,1634,5,1910,-19,B6,N523JB,9,JFK,MCO,117,944,16,34
2013,1,14,1528,13,1712,12,MQ,N628MQ,4333,JFK,PIT,71,340,15,28
2013,8,14,1942,-18,2144,-3,EV,N13903,4462,LGA,CLE,65,419,19,42
2013,1,14,907,2,1040,11,B6,N206JB,20,JFK,ROC,52,264,9,7
2013,12,26,2209,14,2258,1,EV,N16541,3832,EWR,PVD,30,160,22,9
2013,2,1,1436,6,1758,-17,DL,N705TW,2126,JFK,SFO,357,2586,14,36
2013,9,4,1325,0,1610,-5,UA,N21108,1054,EWR,LAX,306,2454,13,25
2013,11,23,1047,-13,1242,-8,DL,N338NB,835,EWR,DTW,100,488,10,47
2013,9,7,1022,-8,1302,-48,VX,N636VA,23,JFK,SFO,322,2586,10,22
2013,12,12,625,-5,728,-14,UA,N840UA,371,EWR,BOS,36,200,6,25
2013,6,10,1658,78,2035,97,UA,N560UA,257,JFK,SFO,361,2586,16,58
2013,8,28,1550,10,1806,-19,DL,N380DA,1773,JFK,LAS,285,2248,15,50
2013,12,22,1854,54,2202,23,UA,N37427,1127,EWR,SFO,348,2565,18,54
2013,5,17,1740,46,2012,44,EV,N10575,4705,EWR,ATL,109,746,17,40
2013,3,27,1355,-5,1453,-10,US,N946UW,2130,LGA,BOS,38,184,13,55
2013,1,14,955,-5,1258,-12,UA,N426UA,789,EWR,FLL,162,1065,9,55
2013,11,3,2045,-15,2248,3,MQ,N535MQ,3384,LGA,CLT,80,544,20,45
2013,6,9,1654,-6,1835,0,MQ,N619MQ,4255,JFK,BNA,119,765,16,54
2013,4,10,821,12,936,1,EV,N17185,4420,EWR,ORF,49,284,8,21
2013,9,4,604,-6,747,-18,DL,N360NB,1919,LGA,MSP,143,1020,6,4
2013,8,16,729,15,958,-17,UA,N848UA,496,EWR,PDX,309,2434,7,29
2013,5,21,1934,16,2222,-3,UA,N77525,1454,EWR,SAN,321,2425,19,34
2013,12,26,822,17,1304,0,AA,N5CPAA,1357,JFK,SJU,198,1598,8,22
2013,10,3,817,-8,1018,3,9E,N8886A,3868,JFK,RDU,68,427,8,17
2013,2,11,1314,39,1459,44,MQ,N840MQ,4404,JFK,RDU,82,427,13,14
2013,10,3,1459,-6,1813,3,AA,N3DJAA,1155,LGA,DFW,192,1389,14,59
2013,12,1,1526,-3,1801,-24,B6,N635JB,573,EWR,TPA,135,997,15,26
2013,7,5,1952,-7,2223,-21,UA,N13750,1106,EWR,IAH,190,1400,19,52
2013,1,13,804,-6,907,-18,AA,N3EPAA,1838,JFK,BOS,43,187,8,4
2013,9,1,1838,128,2128,108,AA,N328AA,181,JFK,LAX,311,2475,18,38
2013,10,27,1006,-4,1121,-14,MQ,N3AEMQ,3675,LGA,BNA,106,764,10,6
2013,3,24,922,-7,1030,-15,EV,N13965,4529,EWR,IAD,43,212,9,22
2013,5,27,716,1,1013,3,VX,N627VA,399,JFK,LAX,334,2475,7,16
2013,8,27,1705,-10,1921,-31,9E,N909XJ,3310,JFK,MCI,140,1113,17,5
2013,1,29,553,-7,654,-21,EV,N830AS,5716,JFK,IAD,42,228,5,53
2013,6,2,1726,26,1859,36,US,N946UW,2183,LGA,DCA,77,214,17,26
2013,9,26,2027,27,2145,13,UA,N838UA,695,LGA,ORD,105,733,20,27
2013,6,7,1804,-6,2102,-12,DL,N393DA,2370,LGA,PBI,149,1035,18,4
2013,6,30,1427,87,1659,100,EV,N718EV,5148,EWR,ATL,123,746,14,27
2013,9,8,1157,-3,1437,-38,UA,N554UA,766,JFK,SFO,315,2586,11,57
2013,7,7,1908,28,2231,82,9E,N8907A,4245,JFK,CHS,92,636,19,8
2013,6,19,823,5,1116,-18,UA,N47414,1210,EWR,SEA,310,2402,8,23
2013,1,8,809,-6,1055,-22,DL,N658DL,1429,JFK,LAS,304,2248,8,9
2013,9,7,1743,13,1959,9,F9,N218FR,837,LGA,DEN,215,1620,17,43
2013,1,10,859,-1,1155,-10,DL,N344NW,1885,LGA,MCO,132,950,8,59
2013,11,3,726,-4,1212,-8,B6,N559JB,1289,EWR,SJU,201,1608,7,26
2013,12,13,1646,-4,2002,-3,AA,N3KAAA,1171,LGA,DFW,219,1389,16,46
2013,2,22,1239,1,1422,23,B6,N206JB,66,JFK,BUF,79,301,12,39
2013,11,23,848,-7,1102,2,MQ,N824MQ,3478,LGA,DTW,111,502,8,48
2013,4,27,629,-3,725,-20,B6,N298JB,1305,JFK,IAD,42,228,6,29
2013,12,10,1922,-8,2037,-10,EV,N877AS,5714,JFK,IAD,50,228,19,22
2013,6,27,1934,4,2149,28,UA,N36469,1028,EWR,ORD,109,719,19,34
2013,12,24,1029,-1,1358,-12,US,N552UW,679,JFK,PHX,310,2153,10,29
2013,11,19,759,-11,952,-3,MQ,N832MQ,3272,LGA,CLE,73,419,7,59
2013,2,16,1032,37,1410,73,B6,N521JB,503,EWR,FLL,194,1065,10,32
2013,8,30,1024,-6,1322,-18,VX,N529VA,187,EWR,SFO,336,2565,10,24
